,index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,285,Inhambane,-23.86,35.38,82.4,65,20,5.1,MZ,12/11/2020
286,286,Nara,34.69,135.8,61.0,51,75,3.1,JP,12/11/2020
287,287,Yining,29.04,114.56,50.92,71,100,0.68,CN,12/11/2020
288,288,Glubokiy,48.52,40.33,27.21,90,0,7.7,RU,12/11/2020
289,289,Saint Paul Harbor,57.79,-152.41,17.6,85,1,2.6,US,12/11/2020
290,290,Airai,-8.93,125.41,71.62,86,88,1.15,TL,12/11/2020
291,291,Puttūr,12.77,75.22,89.6,59,40,4.1,IN,12/11/2020
292,292,Kavieng,-2.57,150.8,83.91,74,100,3.4,PG,12/11/2020
293,293,Ballina,-28.87,153.57,68.0,88,90,5.7,AU,12/11/2020
294,294,Chunskiy,56.08,99.63,6.89,94,100,0.35,RU,12/11/2020
295,295,Popondetta,-8.75,148.25,79.16,84,100,0.77,PG,12/11/2020
296,296,Verāval,20.9,70.37,76.26,77,91,3.24,IN,12/11/2020
297,297,Allāpalli,19.42,80.07,89.24,37,0,0.66,IN,12/11/2020
298,298,Polunochnoye,60.87,60.42,23.29,78,95,2.01,RU,12/11/2020
299,299,Prainha,-1.8,-53.48,73.11,91,46,1.71,BR,12/11/2020
300,300,Fort Nelson,58.81,-122.7,-7.6,76,40,1.0,CA,12/11/2020
301,301,Mahendranagar,28.92,80.33,80.62,25,61,3.14,NP,12/11/2020
302,302,Hervey Bay,-25.3,152.85,75.0,68,94,2.24,AU,12/11/2020
303,303,Coquimbo,-29.95,-71.34,53.6,87,0,1.5,CL,12/11/2020
304,304,Revelstoke,50.98,-118.2,30.2,92,90,1.5,CA,12/11/2020
305,305,Mpika,-11.83,31.45,74.98,72,100,0.56,ZM,12/11/2020
306,306,Daman,20.42,72.85,75.02,68,96,4.73,IN,12/11/2020
307,307,Pryazha,61.69,33.62,5.0,84,0,1.0,RU,12/11/2020
308,308,Agadez,19.75,10.25,71.11,23,0,2.54,NE,12/11/2020
309,309,Barrow,71.29,-156.79,-9.4,76,1,5.7,US,12/11/2020
310,310,Geraldton,-28.77,114.6,84.2,51,0,6.2,AU,12/11/2020
311,311,Curup,-3.47,102.53,81.05,55,100,3.62,ID,12/11/2020
312,312,Adrar,20.5,-10.07,58.26,29,93,4.42,MR,12/11/2020
313,313,Yumen,40.28,97.2,24.78,92,8,7.16,CN,12/11/2020
314,314,Aswān,24.09,32.91,81.9,19,0,1.87,EG,12/11/2020
315,315,Ilhabela,-23.78,-45.36,72.03,87,95,2.16,BR,12/11/2020
316,316,Guerrero Negro,27.98,-114.06,59.25,77,0,5.19,MX,12/11/2020
317,317,Santa Engracia,41.94,-1.32,48.99,93,90,2.1,ES,12/11/2020
318,318,Chateaubelair,13.28,-61.25,78.8,78,40,5.7,VC,12/11/2020
319,319,Gladstone,-23.85,151.25,80.6,47,69,11.3,AU,12/11/2020
320,320,Mahébourg,-20.41,57.7,82.4,58,75,5.7,MU,12/11/2020
321,321,Demba,-5.51,22.27,70.61,97,100,0.34,CD,12/11/2020
322,322,Namatanai,-3.67,152.43,81.54,79,55,3.48,PG,12/11/2020
323,323,Severo-Kuril'sk,50.68,156.12,26.1,91,72,5.2,RU,12/11/2020
324,324,Khuchni,41.95,47.95,33.85,84,0,4.22,RU,12/11/2020
325,325,Nemuro,43.32,145.57,32.0,74,20,1.0,JP,12/11/2020
326,326,Kalabo,-14.97,22.68,77.81,69,80,3.57,ZM,12/11/2020
327,327,Kattivākkam,13.22,80.32,86.0,62,40,3.6,IN,12/11/2020
328,328,Sinnamary,5.38,-52.95,76.69,87,17,3.76,GF,12/11/2020
329,329,Cañon City,38.44,-105.24,32.0,94,90,0.26,US,12/11/2020
330,330,Kahului,20.89,-156.47,77.0,69,20,6.2,US,12/11/2020
331,331,Lakatoro,-16.1,167.42,82.4,78,90,1.5,VU,12/11/2020
332,332,Paita,-5.09,-81.11,68.18,81,100,3.51,PE,12/11/2020
333,333,Cidreira,-30.18,-50.21,70.66,88,0,7.7,BR,12/11/2020
334,334,Inuvik,68.35,-133.72,-5.8,76,92,3.6,CA,12/11/2020
335,335,Atar,20.52,-13.05,62.35,25,100,5.05,MR,12/11/2020
336,336,Forsytheganj,52.63,29.73,31.98,97,100,6.57,BY,12/11/2020
337,337,Santa Isabel Rio Negro,-0.41,-65.02,73.02,98,100,0.62,BR,12/11/2020
338,338,Eufaula,31.89,-85.15,42.8,93,1,1.15,US,12/11/2020
339,339,San Ramon,37.78,-121.98,48.99,91,47,2.24,US,12/11/2020
340,340,Mathathane,-22.27,28.75,88.77,39,0,3.75,BW,12/11/2020
341,341,Abhā,18.22,42.51,64.4,59,20,2.6,SA,12/11/2020
342,342,Kenai,60.55,-151.26,25.0,92,90,4.1,US,12/11/2020
343,343,Westport,41.14,-73.36,33.8,80,1,1.5,US,12/11/2020
344,344,Suleja,9.18,7.18,75.2,78,0,1.0,NG,12/11/2020
345,345,Kapoeta,4.77,33.59,89.89,28,40,9.74,SS,12/11/2020
346,346,Deputatsky,69.3,139.9,-30.23,85,94,1.82,RU,12/11/2020
347,347,Anito,12.45,125.29,83.82,76,100,2.99,PH,12/11/2020
348,348,Palmer,42.16,-72.33,28.0,92,1,1.5,US,12/11/2020
349,349,Tsaratanana,-16.78,47.65,82.04,60,100,1.32,MG,12/11/2020
350,350,Hamilton,39.18,-84.53,46.99,70,1,4.1,US,12/11/2020
351,351,Longyearbyen,78.22,15.64,12.2,66,75,1.5,SJ,12/11/2020
352,352,Ketchikan,55.34,-131.65,42.8,70,90,1.47,US,12/11/2020
353,353,Lviv,49.84,24.02,33.8,95,90,2.0,UA,12/11/2020
354,354,Nyagan,62.14,65.39,17.64,91,15,3.46,RU,12/11/2020
355,355,Mirny,62.54,113.96,-40.0,65,88,1.0,RU,12/11/2020
356,356,Rawson,-43.3,-65.1,58.77,38,36,13.3,AR,12/11/2020
357,357,Pisco,-13.7,-76.22,64.0,88,0,1.0,PE,12/11/2020
358,358,Kano,12.0,8.52,62.6,51,0,2.84,NG,12/11/2020
359,359,Paamiut,61.99,-49.67,25.61,83,3,4.81,GL,12/11/2020
360,360,Tiarei,-17.53,-149.33,78.8,74,40,5.48,PF,12/11/2020
361,361,Bandarbeyla,9.49,50.81,79.23,52,0,10.8,SO,12/11/2020
362,362,Santa Fe,-31.63,-60.7,75.0,72,21,1.34,AR,12/11/2020
363,363,Nelson Bay,-32.72,152.15,68.0,52,90,7.2,AU,12/11/2020
364,364,Būlaevo,54.91,70.44,12.16,96,58,5.19,KZ,12/11/2020
365,365,Juba,4.85,31.58,94.08,24,67,2.41,SS,12/11/2020
366,366,Pandan,14.05,124.17,84.2,74,1,2.64,PH,12/11/2020
367,367,‘Ewa Beach,21.32,-158.01,75.2,88,90,1.5,US,12/11/2020
368,368,Petropavlovsk-Kamchatskiy,53.05,158.65,19.4,57,91,2.0,RU,12/11/2020
369,369,Qui Nhon,13.77,109.23,76.95,84,96,5.63,VN,12/11/2020
370,370,Yankton,42.87,-97.4,32.0,88,20,3.6,US,12/11/2020
371,371,Tezpur,26.63,92.8,77.22,53,0,0.57,IN,12/11/2020
372,372,Ancud,-41.87,-73.82,52.0,87,75,3.6,CL,12/11/2020
373,373,Sechura,-5.56,-80.82,69.89,75,100,4.35,PE,12/11/2020
374,374,Hrádek,49.71,13.65,36.0,100,98,3.33,CZ,12/11/2020
375,375,Koumac,-20.57,164.28,77.72,84,100,3.08,NC,12/11/2020
376,376,Akçakoca,41.09,31.12,57.02,62,100,2.07,TR,12/11/2020
377,377,Nuevo Progreso,23.17,-97.95,68.0,68,12,0.45,MX,12/11/2020
378,378,Kayerkan,69.35,87.76,-27.4,74,0,2.0,RU,12/11/2020
379,379,Takapau,-40.03,176.35,55.99,62,94,4.02,NZ,12/11/2020
380,380,Luleå,65.58,22.15,33.8,86,90,2.1,SE,12/11/2020
381,381,Vao,-22.67,167.48,78.06,86,100,8.56,NC,12/11/2020
382,382,Kyzyl-Suu,42.34,78.01,30.61,87,0,0.53,KG,12/11/2020
383,383,Caravelas,-17.71,-39.25,76.48,82,100,3.49,BR,12/11/2020
384,384,Corinth,37.94,22.96,54.0,70,100,1.74,GR,12/11/2020
385,385,Walvis Bay,-22.96,14.51,66.0,72,1,1.34,NA,12/11/2020
386,386,Plyussa,58.43,29.37,26.71,96,100,3.95,RU,12/11/2020
387,387,Nioro,13.35,-15.75,70.7,27,67,2.64,GM,12/11/2020
388,388,Moberly,39.42,-92.44,48.0,61,73,0.45,US,12/11/2020
389,389,Sembakung,3.82,117.25,86.65,69,91,1.3,ID,12/11/2020
390,390,Sikasso,10.92,-7.0,72.05,28,0,1.55,ML,12/11/2020
391,391,Canto do Buriti,-8.11,-42.94,71.35,87,13,1.27,BR,12/11/2020
392,392,Eséka,3.65,10.77,79.81,81,95,1.32,CM,12/11/2020
393,393,Plettenberg Bay,-34.05,23.37,69.44,69,100,3.15,ZA,12/11/2020
394,394,Scarborough,54.28,-0.4,43.0,94,100,1.34,GB,12/11/2020
395,395,Port Macquarie,-31.43,152.92,63.0,100,90,4.1,AU,12/11/2020
396,396,Salme,28.04,85.09,68.0,49,40,3.1,NP,12/11/2020
397,397,Valdepeñas,38.76,-3.38,55.99,100,90,8.2,ES,12/11/2020
398,398,Zhigansk,66.77,123.37,-31.45,83,100,4.42,RU,12/11/2020
399,399,Omsukchan,62.53,155.8,3.61,91,100,1.28,RU,12/11/2020
400,400,Miandrivazo,-19.52,45.47,89.8,48,91,3.18,MG,12/11/2020
401,401,Nyurba,63.28,118.33,-31.74,84,92,0.82,RU,12/11/2020
402,402,Makkah al Mukarramah,21.43,39.83,83.26,15,1,4.48,SA,12/11/2020
403,403,Marietta,33.95,-84.55,41.0,93,1,2.04,US,12/11/2020
404,404,Diego de Almagro,-26.37,-70.05,52.7,76,3,0.21,CL,12/11/2020
405,405,Saskylakh,71.92,114.08,-20.83,85,100,5.07,RU,12/11/2020
406,406,Santa Maria da Vitória,-13.39,-44.19,68.32,76,100,0.31,BR,12/11/2020
407,407,Madingou,-4.15,13.55,78.17,86,97,1.33,CG,12/11/2020
408,408,San Patricio,28.02,-97.52,66.99,88,75,5.7,US,12/11/2020
409,409,Carmaux,44.05,2.16,46.99,98,100,2.72,FR,12/11/2020
410,410,Tugulym,57.06,64.64,6.8,77,0,4.0,RU,12/11/2020
411,411,Batemans Bay,-35.72,150.18,64.0,74,9,0.89,AU,12/11/2020
412,412,Bakchar,57.02,82.07,6.1,94,99,2.22,RU,12/11/2020
413,413,Karaman Province,37.08,33.25,44.31,86,100,7.46,TR,12/11/2020
414,414,Verkh-Usugli,52.7,115.17,-4.99,76,0,1.09,RU,12/11/2020
415,415,Khandagayty,50.73,92.05,4.77,78,95,5.84,RU,12/11/2020
416,416,Suez,29.97,32.53,71.83,25,0,2.63,EG,12/11/2020
417,417,Halifax,44.65,-63.57,32.0,84,67,3.13,CA,12/11/2020
418,418,Aksha,50.28,113.29,3.52,78,81,2.36,RU,12/11/2020
419,419,Valdivia,-39.81,-73.25,48.2,100,75,1.5,CL,12/11/2020
420,420,West Bay,19.37,-81.42,75.99,74,41,0.89,KY,12/11/2020
421,421,Valente,-11.41,-39.46,71.71,80,99,4.6,BR,12/11/2020
422,422,Dauphin,51.15,-100.05,26.6,96,90,2.6,CA,12/11/2020
423,423,Encheng,22.18,112.3,78.01,48,62,1.56,CN,12/11/2020
424,424,Markova,48.68,24.41,33.8,91,75,1.0,UA,12/11/2020
425,425,Bandrele,-12.91,45.19,84.2,70,0,3.6,YT,12/11/2020
426,426,Robertsport,6.75,-11.37,79.97,78,20,2.03,LR,12/11/2020
427,427,Arlit,18.74,7.39,80.56,16,0,2.82,NE,12/11/2020
428,428,Atbasar,51.8,68.33,9.23,94,0,0.87,KZ,12/11/2020
429,429,Boende,-0.22,20.87,85.68,61,23,1.32,CD,12/11/2020
430,430,Broome,42.25,-75.83,30.99,86,1,2.6,US,12/11/2020
431,431,Nabire,-3.37,135.48,81.34,82,83,1.29,ID,12/11/2020
432,432,Gouré,13.98,10.27,82.0,19,0,2.68,NE,12/11/2020
433,433,Nokaneng,-19.67,22.27,87.84,41,0,2.8,BW,12/11/2020
434,434,Steamboat Springs,40.48,-106.83,28.4,46,90,0.43,US,12/11/2020
435,435,Obo,5.4,26.49,91.33,34,100,0.96,CF,12/11/2020
436,436,Havelock,34.88,-76.9,46.4,93,1,1.87,US,12/11/2020
437,437,Pundaguitan,6.37,126.17,84.42,74,0,4.2,PH,12/11/2020
438,438,Mufumbwe,-13.68,24.8,67.68,93,100,0.83,ZM,12/11/2020
439,439,Senneterre,48.38,-77.23,30.2,100,90,4.6,CA,12/11/2020
440,440,Kavaratti,10.57,72.64,86.0,74,20,2.1,IN,12/11/2020
441,441,Meiktila,20.87,95.87,81.72,46,0,2.48,MM,12/11/2020
442,442,Prieska,-29.66,22.75,78.62,22,0,2.64,ZA,12/11/2020
443,443,Bonavista,48.65,-53.11,32.0,100,100,2.6,CA,12/11/2020
444,444,Asău,46.43,26.4,35.01,97,100,1.7,RO,12/11/2020
445,445,Fes,34.04,-5.0,59.0,82,75,6.2,MA,12/11/2020
446,446,Dragoman,42.92,22.93,45.0,10,83,0.66,BG,12/11/2020
447,447,Esmeraldas,-19.76,-44.31,68.0,93,75,1.0,BR,12/11/2020
448,448,Uyuni,-20.46,-66.83,48.72,49,0,2.2,BO,12/11/2020
449,449,Kristinestad,62.27,21.38,26.98,94,6,4.22,FI,12/11/2020
450,450,Hongjiang,27.11,110.0,50.88,83,100,1.63,CN,12/11/2020
451,451,Ruidoso,33.33,-105.67,39.2,55,1,8.2,US,12/11/2020
452,452,Laguna,38.42,-121.42,46.99,65,1,2.1,US,12/11/2020
453,453,Nkhotakota,-12.93,34.3,86.52,50,100,1.63,MW,12/11/2020
454,454,Acapulco de Juárez,16.86,-99.89,76.03,80,0,1.39,MX,12/11/2020
455,455,Bac Lieu,9.29,105.72,79.97,84,100,1.35,VN,12/11/2020
456,456,Tongren,27.72,109.19,49.41,77,100,1.52,CN,12/11/2020
457,457,Vilyaka,57.18,27.67,28.89,97,100,3.41,LV,12/11/2020
458,458,Nefteyugansk,61.1,72.6,12.2,92,90,2.0,RU,12/11/2020
459,459,Shīeli,44.17,66.75,31.17,87,0,3.09,KZ,12/11/2020
460,460,Santo Ângelo,-28.3,-54.26,75.2,50,0,3.6,BR,12/11/2020
461,461,Cabra,37.47,-4.44,57.99,68,100,1.34,ES,12/11/2020
462,462,Vanimo,-2.67,141.3,82.67,75,100,1.69,PG,12/11/2020
463,463,Araci,-11.33,-38.97,68.95,94,42,2.76,BR,12/11/2020
464,464,Šakiai,54.95,23.04,30.2,86,90,3.1,LT,12/11/2020
465,465,Tucupita,9.06,-62.05,69.13,98,9,0.8,VE,12/11/2020
466,466,Cairns,-16.92,145.77,86.0,62,93,5.7,AU,12/11/2020
467,467,Kehychivka,49.29,35.76,27.63,89,0,7.85,UA,12/11/2020
468,468,Virovitica,45.83,17.38,36.0,100,90,2.6,HR,12/11/2020
469,469,Leiyang,26.4,112.86,58.82,60,64,3.9,CN,12/11/2020
470,470,Morant Bay,17.88,-76.41,78.8,78,75,4.1,JM,12/11/2020
471,471,Mezen',65.85,44.24,16.3,95,99,3.59,RU,12/11/2020
472,472,Roald,62.58,6.13,42.8,56,0,5.1,NO,12/11/2020
473,473,Ranong,9.97,98.63,87.8,62,40,3.1,TH,12/11/2020
474,474,Chimoré,-16.98,-65.13,69.3,86,0,0.33,BO,12/11/2020
475,475,Cap Malheureux,-19.98,57.61,82.4,58,75,5.7,MU,12/11/2020
476,476,Caucayá,-0.19,-74.78,71.87,95,66,1.33,CO,12/11/2020
477,477,Eenhana,-17.47,16.33,80.6,22,0,2.1,NA,12/11/2020
478,478,Madang,-5.22,145.8,79.05,80,32,1.64,PG,12/11/2020
479,479,Antsohihy,-14.88,47.99,75.4,90,100,0.59,MG,12/11/2020
480,480,Gunjur,13.2,-16.73,62.6,72,0,1.0,GM,12/11/2020
481,481,Buta,2.79,24.73,87.84,56,100,0.99,CD,12/11/2020
482,482,Abbeville,50.1,1.83,45.0,61,100,5.69,FR,12/11/2020
483,483,Leer,8.3,30.14,94.89,23,95,2.58,SS,12/11/2020
484,484,Kargopol',61.51,38.95,13.78,95,56,2.71,RU,12/11/2020
485,485,Omboué,-1.57,9.26,77.07,89,100,3.73,GA,12/11/2020
486,486,Luanda,-8.84,13.23,77.0,83,75,2.6,AO,12/11/2020
487,487,Maracaju,-21.61,-55.17,70.74,54,9,1.89,BR,12/11/2020
488,488,Stephenville,32.22,-98.2,62.6,67,1,4.1,US,12/11/2020
489,489,Kiama,-34.68,150.87,66.99,58,85,0.45,AU,12/11/2020
490,490,Bilma,18.69,12.92,76.24,21,0,3.64,NE,12/11/2020
491,491,Kuril'sk,45.23,147.88,33.84,85,96,3.32,RU,12/11/2020
492,492,Kibara,-2.15,33.45,71.6,83,20,4.1,TZ,12/11/2020
493,493,Zhuhai,22.28,113.57,79.0,78,70,3.1,CN,12/11/2020
494,494,Terney,45.05,136.61,23.92,86,100,3.14,RU,12/11/2020
495,495,Skibbereen,51.55,-9.27,44.6,93,75,4.1,IE,12/11/2020
496,496,Eyemouth,55.87,-2.09,42.01,94,100,8.76,GB,12/11/2020
497,497,Iqaluit,63.75,-68.51,23.0,85,90,5.7,CA,12/11/2020
498,498,Bintulu,3.17,113.03,89.6,70,40,1.5,MY,12/11/2020
499,499,Cap-Chat,49.1,-66.68,26.6,79,40,5.1,CA,12/11/2020
500,500,La Paz,-16.5,-68.15,35.6,93,40,1.0,BO,12/11/2020
501,501,Sisimiut,66.94,-53.67,21.07,93,99,5.24,GL,12/11/2020
502,502,Rabat,33.99,-6.84,59.0,100,75,4.6,MA,12/11/2020
503,503,Northam,51.03,-4.22,50.0,97,99,2.68,GB,12/11/2020
504,504,Taoudenni,22.68,-3.98,58.23,35,53,4.84,ML,12/11/2020
505,505,Micheweni,-4.97,39.83,84.45,72,100,4.62,TZ,12/11/2020
506,506,Nuuk,64.18,-51.72,17.6,78,58,3.6,GL,12/11/2020
507,507,Marabu,4.41,114.01,86.0,74,40,3.1,MY,12/11/2020
508,508,Hobbs,32.7,-103.14,48.99,76,1,4.1,US,12/11/2020
509,509,Barentu,15.11,37.59,83.61,27,0,3.76,ER,12/11/2020
510,510,Riyadh,24.69,46.72,57.2,71,0,2.1,SA,12/11/2020
511,511,Tabou,4.42,-7.35,80.15,83,10,3.06,CI,12/11/2020
512,512,Antofagasta,-23.65,-70.4,62.6,77,90,3.1,CL,12/11/2020
513,513,Kidal,18.44,1.41,72.88,20,43,4.77,ML,12/11/2020
514,514,La Pila,22.05,-100.87,57.2,47,5,2.1,MX,12/11/2020
515,515,Buala,-8.14,159.59,82.54,72,43,1.94,SB,12/11/2020
516,516,Cururupu,-1.83,-44.87,75.79,86,52,1.73,BR,12/11/2020
517,517,Manosque,43.83,5.79,46.0,77,0,2.6,FR,12/11/2020
518,518,Eureka,40.8,-124.16,39.0,92,1,2.27,US,12/11/2020
519,519,Saint-Pierre,-21.34,55.48,82.4,58,0,12.3,RE,12/11/2020
520,520,Lakes Entrance,-37.88,147.98,64.99,58,0,3.58,AU,12/11/2020
521,521,San Andrés,12.58,-81.7,78.8,83,40,4.6,CO,12/11/2020
522,522,Port Hardy,50.7,-127.42,42.8,100,90,1.0,CA,12/11/2020
523,523,Constitución,-35.33,-72.42,51.22,72,0,3.42,CL,12/11/2020
524,524,Loandjili,-4.76,11.86,77.0,88,75,1.5,CG,12/11/2020
525,525,Makakilo City,21.35,-158.09,75.2,88,90,1.5,US,12/11/2020
526,526,Sinop Province,41.77,34.87,51.8,71,0,2.6,TR,12/11/2020
527,527,Ponta Delgada,37.73,-25.67,62.6,93,75,6.2,PT,12/11/2020
528,528,Lere,10.39,8.57,80.73,22,100,1.55,NG,12/11/2020
529,529,Madona,56.85,26.22,28.2,98,100,3.54,LV,12/11/2020
530,530,Amoy,24.48,118.08,73.4,64,0,5.0,CN,12/11/2020
531,531,Puro,12.48,123.38,85.68,70,89,2.74,PH,12/11/2020
532,532,Kichera,55.94,110.1,-10.7,79,85,1.63,RU,12/11/2020
533,533,Verkhnyaya Inta,65.98,60.31,15.82,95,100,9.57,RU,12/11/2020
534,534,Bom Jesus,-9.07,-44.36,71.22,86,48,0.74,BR,12/11/2020
535,535,Rabo de Peixe,37.8,-25.58,62.6,93,75,6.2,PT,12/11/2020
536,536,Qiyang,26.59,111.85,58.05,59,94,3.96,CN,12/11/2020
537,537,Shivrājpur,22.42,73.65,71.6,83,90,3.1,IN,12/11/2020
538,538,Naples,40.83,14.25,46.4,87,75,2.6,IT,12/11/2020
539,539,Santa Cruz de la Sierra,-17.8,-63.17,75.2,94,75,6.2,BO,12/11/2020
540,540,Camp Verde,34.56,-111.85,45.0,97,85,1.64,US,12/11/2020
541,541,Kenora,49.82,-94.43,21.2,92,90,3.1,CA,12/11/2020
542,542,Ossora,59.24,163.07,23.11,96,100,7.23,RU,12/11/2020
543,543,Honningsvåg,70.98,25.97,33.8,86,40,6.7,NO,12/11/2020
544,544,Moindou,-21.69,165.68,78.8,83,100,4.6,NC,12/11/2020
545,545,Nantucket,41.28,-70.1,32.0,66,1,3.07,US,12/11/2020
546,546,Sumbawanga,-7.97,31.62,64.4,88,75,1.87,TZ,12/11/2020
547,547,Starobaltachevo,56.0,55.92,12.42,92,0,1.66,RU,12/11/2020
548,548,Nur-Sultan,51.18,71.45,21.2,79,90,2.0,KZ,12/11/2020
549,549,Pilikwe,-22.8,27.19,91.71,30,0,4.89,BW,12/11/2020
550,550,Lombardía,19.15,-102.03,52.0,89,0,0.89,MX,12/11/2020
551,551,Sakakah,29.97,40.21,59.0,38,0,6.2,SA,12/11/2020
552,552,Korla,41.76,86.15,33.4,81,0,2.2,CN,12/11/2020
553,553,Dicabisagan,17.08,122.42,82.44,74,24,1.43,PH,12/11/2020
554,554,Bambanglipuro,-7.95,110.28,81.72,79,100,3.77,ID,12/11/2020
555,555,Mahajanga,-15.72,46.32,84.2,70,40,5.1,MG,12/11/2020
556,556,Lae,-6.72,146.98,87.8,62,40,6.7,PG,12/11/2020
557,557,Murgab,37.5,61.97,28.4,86,90,2.09,TM,12/11/2020
558,558,Passo de Camaragibe,-9.24,-35.49,69.8,94,0,2.6,BR,12/11/2020
559,559,Homer,59.64,-151.55,28.0,85,1,1.5,US,12/11/2020
560,560,Saryozek,44.36,77.98,22.14,90,1,1.21,KZ,12/11/2020
561,561,Mahon,39.89,4.27,53.6,76,20,4.1,ES,12/11/2020
562,562,Kinablangan,7.69,126.55,83.55,75,39,1.78,PH,12/11/2020
563,563,Champerico,14.3,-91.92,64.0,91,0,3.45,GT,12/11/2020
564,564,Lucea,18.45,-78.17,77.0,83,20,1.5,JM,12/11/2020
565,565,Diveyevo,55.04,43.24,20.07,90,0,2.42,RU,12/11/2020
566,566,Rio Grande,-32.03,-52.1,69.01,93,0,0.45,BR,12/11/2020
567,567,Progreso,21.28,-89.67,66.99,77,75,4.1,MX,12/11/2020
568,568,The Valley,18.22,-63.06,78.01,83,40,1.5,AI,12/11/2020
569,569,Saint Lawrence,36.06,14.2,60.8,77,75,7.2,MT,12/11/2020
570,570,Lagunas,-5.23,-75.68,72.88,96,100,0.46,PE,12/11/2020
